,CenLat,CenLon,Slope,Zmin,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
386,47.0532,11.1584,26.9,3093,3205,0.039,112,225,59.910854,44.98581
387,47.0282,12.2009,39.1,3085,3299,0.038,304,269,39.43562,40.67541
388,47.0356,11.9288,24.8,2761,2838,0.013,49,135,78.73258,42.196465
389,47.0503,11.1461,26.2,3003,3273,0.155,327,514,41.60067,38.587288
390,47.0307,11.9011,29.5,2557,3167,0.526,287,1169,55.277767,33.991817
391,47.0458,11.1096,16.1,2760,3430,1.397,154,2166,80.99838,31.44551
392,47.0487,11.2929,37.6,2696,2884,0.046,52,236,79.461205,40.977505
393,47.0467,11.2862,31.8,2732,3180,0.137,346,648,47.882267,34.177513
394,47.0505,11.1614,28.7,2843,3189,0.123,81,659,76.47117,40.66217
395,47.0323,11.9236,27.5,2753,3208,0.308,109,821,73.55845,40.419308
396,47.027,12.1875,27.7,2686,2840,0.029,319,365,43.024357,41.218765
397,47.0342,11.8558,22.0,2831,3031,0.175,235,395,43.213764,43.253624
398,47.0229,11.878,23.2,2430,3311,3.029,8,2366,122.512634,29.459055
399,47.0636,10.2454,46.2,2601,2694,0.012,22,90,90.47981,39.69512
400,47.0258,12.1526,26.4,2634,2723,0.015,34,141,86.67947,41.367516
401,47.0611,10.2234,23.1,2685,2874,0.084,27,411,89.12862,38.73491
402,47.0662,9.684,26.6,2666,2784,0.025,63,224,77.02421,42.298325
403,47.0233,12.1591,26.7,2653,2909,0.117,355,526,46.303204,37.37799
404,47.0302,11.9162,40.4,3143,3263,0.019,107,160,60.12277,44.90803
405,47.0204,12.2008,22.8,2790,3138,0.23,241,817,48.744965,41.422535
406,47.0234,12.1681,29.6,2758,2893,0.04,318,215,41.618805,41.925316
407,47.0592,9.69511,14.3,2480,2761,1.173,45,1643,95.96533,33.971645
408,47.0289,11.9506,48.8,2696,2851,0.015,75,127,71.703026,41.68314
409,47.0437,11.2918,27.3,3121,3187,0.017,125,127,56.01002,45.454525
410,47.0431,11.1463,22.4,2977,3423,0.611,69,1265,84.761505,35.77108
411,47.0211,12.1699,17.0,2872,2941,0.038,113,182,59.82526,44.33893
412,47.0274,11.9154,31.0,3004,3189,0.024,152,336,54.258976,45.437588
413,47.0472,10.9109,21.7,2726,2974,0.203,26,570,90.673615,37.622807
414,47.0152,11.8574,22.1,2343,3190,3.584,299,2007,63.31405,18.849676
415,47.0262,11.9118,30.3,2882,3152,0.17,184,506,51.534645,45.42361
416,46.9994,12.8035,22.6,2756,2898,0.044,319,361,41.77184,40.908905
417,47.033,11.6418,25.7,2643,2725,0.013,287,158,42.42883,45.00142
418,47.046,10.7946,17.7,2679,2894,0.083,18,691,94.91078,37.224384
419,47.0531,10.2811,25.2,2634,2862,0.237,344,431,45.16003,38.817204
420,47.0184,12.1664,27.7,2940,3044,0.022,109,212,60.8565,44.37526
421,47.0163,12.2123,19.2,2993,3185,0.081,161,492,53.94756,45.531578
422,47.0199,11.9029,28.8,2588,3107,0.658,136,887,69.376495,39.8319
423,46.9999,12.7277,20.9,2776,2860,0.022,351,250,45.959835,46.782894
424,47.0534,10.2267,27.8,2626,2751,0.064,52,237,81.31791,42.025238
425,47.0153,12.2028,29.2,3072,3129,0.012,232,125,39.81794,45.8689
426,47.0571,9.71597,25.8,2606,2706,0.04,328,215,46.473312,47.95973
427,47.0389,11.1432,25.6,3355,3417,0.022,198,160,45.074833,46.996254
428,47.0132,12.2228,28.0,2819,2880,0.015,56,112,75.221176,42.240112
429,47.0427,10.8051,38.4,2748,2982,0.061,49,348,81.22894,40.21034
430,47.0501,10.2339,32.4,2570,2784,0.079,34,376,88.974144,39.24428
431,47.0376,11.1498,29.7,3127,3261,0.029,134,246,56.073807,45.394848
432,47.0175,11.8812,24.6,3107,3191,0.048,87,182,64.485504,43.85268
433,47.0182,11.637,14.9,2815,3226,1.348,172,2144,67.28755,35.724422
434,47.0226,11.6449,31.1,2884,3215,0.109,105,425,67.77706,43.128693
435,47.0098,12.2252,26.7,2934,3073,0.042,23,269,84.5991,39.288807
436,47.0387,10.7987,23.8,2753,3036,0.091,279,404,42.83561,39.4942
437,47.046,10.2268,24.2,2813,3041,0.082,241,581,44.727955,43.08871
438,47.0383,10.8146,28.0,2521,2662,0.028,49,318,85.51703,41.391464
439,47.0445,10.2315,27.8,2665,3032,0.165,73,758,81.53585,39.884693
440,47.0362,10.8247,34.3,2637,2937,0.104,23,486,93.486725,37.15127
441,47.0129,11.8887,19.9,2733,3060,0.272,130,961,66.12866,43.515896
442,47.0445,10.2426,22.5,2535,2622,0.029,352,230,51.96146,53.524418
443,47.0367,10.8177,41.7,2573,2800,0.065,357,270,48.70944,42.35494
444,47.0173,11.7601,31.7,2817,2974,0.024,29,224,84.31378,39.9291
445,47.0357,10.793,19.8,2721,2865,0.057,344,381,44.97281,42.99635
446,47.0176,11.7569,24.7,2958,3009,0.013,116,79,57.811226,44.787895
447,47.0143,11.8958,40.5,2720,2821,0.013,129,112,56.40625,44.021458
448,47.0284,11.1243,28.3,2901,3174,0.19,85,530,71.889084,41.56914
449,47.0276,11.1117,22.4,2746,3195,0.592,303,1196,49.29684,35.152706
450,47.0332,10.7894,27.0,2733,2856,0.043,328,269,43.199936,43.388195
451,47.0118,11.8372,25.9,2718,2843,0.034,30,206,85.75997,40.408844
