,Lat,Lon,Area,Mean Slope,avg predicted thickness,predicted thickness std dev
487,-78.2351,166.649,0.116,7.0,127.585686,42.566082
488,-78.2235,166.365,0.204,11.1,126.1981,42.137333
489,-78.2364,166.562,0.081,19.6,123.5046,41.45991
490,-78.2193,166.208,0.3,12.3,125.80629,42.016174
491,-78.2193,166.292,0.377,16.1,124.6383,41.70309
492,-78.2251,166.393,0.806,7.3,127.65501,42.53301
493,-78.2353,166.527,0.423,10.0,126.6651,42.252975
494,-78.2399,166.392,0.449,9.9,126.679344,42.25296
495,-78.1675,166.184,10.599,3.3,132.48294,43.652397
496,-78.2415,166.434,0.75,7.5,127.58999,42.516663
497,-78.253,166.441,0.275,15.5,124.853615,41.77286
498,-78.2876,166.278,0.631,7.1,127.67687,42.55403
499,-78.2892,166.265,0.144,6.4,127.74818,42.59906
500,-78.1862,167.125,303.333,6.8,607.5361,111.385475
501,-73.3311,169.727,0.084,31.7,117.2856,39.80472
502,-73.3781,169.828,0.325,28.2,118.43957,39.986755
503,-73.4782,169.889,0.166,40.0,114.82881,39.535366
504,-73.5269,169.504,0.87,33.8,116.995155,39.759624
505,-73.609,169.873,0.945,10.6,124.39209,41.369255
506,-73.6116,169.672,0.236,29.0,118.28286,39.986332
507,-73.6199,169.664,0.121,27.1,118.84197,40.094078
508,-73.4924,169.733,208.83,15.2,422.6271,81.40604
509,-73.6276,169.667,0.147,19.6,121.21358,40.572563
510,-66.9788,142.64,0.013,0.0,117.38463,38.471554
511,-70.8791,-2.75388,1251.387,0.1,2432.5322,429.40887
512,-69.068,39.6194,0.135,0.0,97.33253,30.003754
513,-69.2329,39.6904,0.025,0.0,97.416756,30.04753
514,-66.7471,48.5328,222.447,1.9,443.51566,83.32452
515,-63.5436,-56.6818,9.241,16.3,75.97097,18.934368
516,-63.6908,-57.4516,0.114,3.2,75.845825,18.887568
517,-63.663,-57.4867,28.824,6.3,91.07876,25.62975
518,-64.475,-57.2074,336.769,2.1,654.0096,119.309525
519,-63.5771,-59.8244,20.448,9.4,83.85599,22.21905
520,-65.1702,-59.6499,172.849,1.7,337.7141,67.62517
521,-63.7581,-61.6697,39.47,6.0,99.90862,28.435202
522,-64.6512,-62.0713,0.01,0.0,76.823875,19.155487
523,-64.65,-62.0729,0.056,0.0,76.84366,19.16042
524,-64.6656,-62.1942,2.494,0.0,77.93828,19.482328
525,-64.9401,-63.4317,1.42,0.0,77.437096,19.281036
526,-64.6484,-64.2509,0.047,0.0,76.50132,18.969437
527,-65.5434,-64.3713,10.661,22.8,74.972855,18.566942
528,-65.8941,-64.8774,4.996,9.2,76.34273,18.752657
529,-65.6701,-65.208,6.766,14.9,75.22692,18.509851
530,-65.4806,-65.7196,2.348,0.0,77.85058,19.340683
531,-67.4852,63.8037,0.011,0.0,101.00119,31.901115
532,-65.9757,-65.7679,11.919,0.0,82.83072,21.754847
533,-70.6057,-60.7125,376.327,2.0,729.5595,132.9864
534,-66.3922,-67.2217,10.719,0.0,82.265305,21.37782
535,-68.2046,-66.7206,0.054,0.0,78.411,19.549698
536,-68.1706,-67.2842,0.013,0.0,78.2833,19.488184
537,-68.1094,-67.3621,0.088,0.0,78.26577,19.476507
538,-67.733,-68.4108,0.053,0.0,77.84531,19.297272
539,-67.7291,-68.3992,0.036,0.0,77.8369,19.295395
540,-67.7326,-68.395,0.071,0.0,77.85563,19.300686
541,-67.7301,-68.3827,0.257,0.0,77.94008,19.323536
542,-69.0903,-68.6615,0.339,0.1,78.77441,19.59734
543,-70.0861,-74.5758,0.221,0.5,78.30591,19.232796
544,-69.3689,76.152,0.027,0.0,104.754265,33.48525
545,-69.3669,76.1478,0.015,0.0,104.74875,33.484062
546,-69.3721,76.1443,0.067,0.0,104.765945,33.486385
547,-69.3692,76.1309,0.074,0.0,104.76325,33.484653
548,-69.363,76.1361,0.116,0.0,104.77184,33.484818
549,-69.3545,76.3293,0.033,0.0,104.782326,33.49837
550,-69.359,76.3243,0.013,0.4,104.64198,33.45178
551,-69.3604,76.3008,0.12,0.0,104.80462,33.499508
552,-69.2321,76.8804,0.447,0.0,104.92777,33.53192
553,-73.195,-75.1082,3266.694,1.9,6336.3066,1123.8689
554,-68.8354,77.7104,0.013,0.9,104.40448,33.39812
555,-68.8262,77.702,0.01,0.7,104.46422,33.418186
556,-68.8236,77.7004,0.06,0.6,104.51025,33.430347
557,-72.963,-89.9189,529.223,1.9,1023.1138,184.80377
558,-74.1347,-102.023,0.956,0.0,77.257805,18.065817
559,-74.053,-104.953,0.633,0.0,76.616486,17.770233
560,-74.0928,-105.162,0.609,0.0,76.59943,17.758795
561,-74.4771,-127.645,698.024,1.6,1347.3739,242.50395
562,-76.7398,-150.473,192.942,2.3,366.6661,74.51293
563,-75.7004,162.831,0.057,0.0,127.52322,42.287636
564,-66.8296,141.329,0.011,0.0,116.99771,38.325317
565,-66.7703,141.458,0.017,0.0,116.98923,38.321507
566,-69.8438,16.0301,917.532,1.3,1785.7758,315.2023
567,-68.0453,43.5723,0.053,3.1,96.28418,29.770739
568,-69.8476,39.0941,0.062,0.0,97.72554,30.131975
569,-63.4281,-56.289,0.159,15.1,71.80197,18.012602
570,-63.3028,-55.804,0.023,14.3,72.004974,18.049208
571,-63.1557,-55.4863,0.084,1.0,76.56437,19.25457
572,-63.2711,-55.8182,1472.829,3.5,2856.9377,506.59598
573,-74.068,-20.876,1482.022,0.2,2878.049,508.8683
574,-63.4812,-55.971,353.675,3.6,686.0263,125.04652
575,-63.1854,-56.636,37.506,0.3,100.875046,29.021269
576,-63.5868,-56.5901,52.789,3.2,117.98873,32.604053
577,-67.098,50.3825,0.211,0.0,98.1274,30.567062
578,-63.6149,-57.3512,0.014,0.0,76.89295,19.34027
579,-63.6119,-57.3378,0.086,0.0,76.92422,19.347824
580,-63.8742,-57.6056,0.022,11.7,73.00825,18.171383
581,-63.8921,-57.5642,0.116,5.9,75.04066,18.589901
582,-63.8092,-57.621,0.081,17.7,70.87836,17.880035
583,-63.8952,-57.3751,0.081,1.2,76.67591,19.223719
584,-63.82,-57.3363,0.039,9.5,73.76057,18.31932
585,-63.8205,-57.328,0.062,7.7,74.380104,18.442547
586,-63.7987,-57.3534,0.011,22.5,69.20149,17.856052
587,-63.7952,-57.3588,0.017,16.1,71.43952,17.945143
588,-63.8974,-57.2248,0.876,14.7,72.49375,18.150635
589,-63.794,-57.3545,0.01,16.2,71.40033,17.940739
590,-63.7884,-57.36,0.02,6.2,74.85964,18.547407
591,-63.7888,-57.3529,0.023,5.5,75.09918,18.620447
592,-63.7906,-57.3479,0.017,6.4,74.79162,18.532055
593,-63.8822,-57.1977,0.033,32.8,65.91402,18.116896
594,-63.8619,-57.3729,190.37,7.0,368.038,73.17232
595,-64.2773,-56.8096,0.457,3.0,76.54795,19.143757
596,-64.2898,-56.6869,0.026,0.4,77.29254,19.488066
597,-64.257,-56.701,0.338,3.2,76.427765,19.108093
598,-64.2155,-56.6318,0.086,0.0,77.4226,19.54581
