,Farinotti Mean Thickness,Shapiro-Wilk statistic,Shapiro-Wilk p_value,Farinotti Median Thickness,Farinotti Thickness STD,Skew,RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name,region
50240,12.97231,0.910113513469696,0.00013963958190288395,13.836733,0.9612807,-0.5413950272915447,RGI60-08.02669,G005723E61746N,20060916.0,-9999999.0,5.723,61.746,8.0,2.0,0.04,1145.0,1162.0,1155.0,6.5,176.0,152.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50241,15.872168,0.9266811609268188,0.00011392509622965008,16.918112,1.1258556,-0.5848779721779478,RGI60-08.02670,G005767E61805N,20060916.0,-9999999.0,5.767,61.805,8.0,2.0,0.055,983.0,1155.0,1042.0,19.7,67.0,450.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50242,17.304493,0.9748402237892151,0.005925154313445091,19.004274,1.4833523,-0.12389863813812863,RGI60-08.02671,G005423E61748N,20060916.0,-9999999.0,5.423,61.748,8.0,2.0,0.103,1046.0,1145.0,1105.0,16.1,3.0,309.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50243,29.502401,0.9369775652885437,5.271881564107572e-13,26.741833,4.28352,0.8127662423008165,RGI60-08.02672,G005580E61740N,20060916.0,-9999999.0,5.58,61.74,8.0,2.0,0.289,1107.0,1362.0,1315.0,18.1,319.0,752.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50244,16.357529,0.9659234285354614,0.003899611998349428,18.21331,1.2506456,-0.3619200034986851,RGI60-08.02673,G005415E61730N,20060916.0,-9999999.0,5.415,61.73,8.0,2.0,0.077,1005.0,1179.0,1104.0,21.3,86.0,358.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50245,36.483284,0.9494541883468628,2.887044558974594e-08,38.887,1.533473,-0.8985292208402261,RGI60-08.02674,G005798E61745N,20060916.0,-9999999.0,5.798,61.745,8.0,2.0,0.178,1305.0,1422.0,1370.0,12.9,104.0,530.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50246,17.40786,0.9688093066215515,0.003279808210209012,18.99542,0.8691229,-0.5653957005568833,RGI60-08.02675,G005452E61744N,20060916.0,-9999999.0,5.452,61.744,8.0,2.0,0.088,1096.0,1312.0,1208.0,26.1,1.0,237.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50247,13.966571,0.9730115532875061,0.2043890655040741,14.655752,0.9683307,-0.17698892202551156,RGI60-08.02676,G005887E61780N,20060916.0,-9999999.0,5.887,61.78,8.0,2.0,0.037,1063.0,1157.0,1128.0,20.3,13.0,392.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50248,23.236631,0.9920550584793091,0.05218522623181343,26.263285,1.9832455,-0.1278076491901274,RGI60-08.02677,G005444E61746N,20060916.0,-9999999.0,5.444,61.746,8.0,2.0,0.23,1059.0,1282.0,1113.0,17.8,22.0,713.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50249,18.414003,0.9565719366073608,9.474098987993784e-06,20.04537,1.0092485,-0.380084305116108,RGI60-08.02678,G005739E61751N,20060916.0,-9999999.0,5.739,61.751,8.0,2.0,0.126,992.0,1216.0,1122.0,28.2,11.0,384.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50250,13.04875,0.9703508019447327,0.006872831378132105,14.170139,1.0040529,-0.3095666780971197,RGI60-08.02679,G005421E61737N,20060916.0,-9999999.0,5.421,61.737,8.0,2.0,0.081,1110.0,1353.0,1239.0,37.3,133.0,283.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50251,86.72779,0.9635564684867859,2.801560892995436e-11,75.76758,13.42664,-0.12041091420011762,RGI60-08.02680,G005633E61740N,20060916.0,-9999999.0,5.633,61.74,8.0,2.0,0.383,1326.0,1380.0,1349.0,3.0,217.0,854.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50252,20.548338,0.9723546504974365,1.1325433035835886e-07,22.489918,1.1287676,-0.4558191668699838,RGI60-08.02681,G006017E61742N,20060916.0,-9999999.0,6.017,61.742,8.0,2.0,0.3,1215.0,1328.0,1271.0,14.4,354.0,536.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50253,14.649909,0.9601492285728455,0.00032974977511912584,15.455224,0.76240283,-0.4272771356144265,RGI60-08.02682,G005839E61755N,20060916.0,-9999999.0,5.839,61.755,8.0,2.0,0.091,1080.0,1204.0,1145.0,22.9,68.0,305.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50254,101.3339,0.985763430595398,3.1436577317965415e-18,106.407394,9.608502,-0.03275184466151491,RGI60-08.02683,G005617E61743N,20060916.0,-9999999.0,5.617,61.743,8.0,2.0,2.175,1240.0,1344.0,1303.0,3.5,176.0,1927.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50255,33.562828,0.9726765751838684,1.0008884743228919e-07,31.13459,2.6152537,0.5064740260806683,RGI60-08.02684,G005878E61783N,20060916.0,-9999999.0,5.878,61.783,8.0,2.0,0.292,1145.0,1330.0,1228.0,11.9,102.0,978.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50256,33.116238,0.9023313522338867,1.9524135197457326e-08,38.731453,3.6968694,-0.8190809477656154,RGI60-08.02685,G005697E61742N,20060916.0,-9999999.0,5.697,61.742,8.0,2.0,0.092,1255.0,1305.0,1275.0,8.5,229.0,305.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50257,20.994806,0.9787073135375977,0.008737827651202679,23.342505,1.9499055,-0.12295093210638748,RGI60-08.02686,G005824E61786N,20060916.0,-9999999.0,5.824,61.786,8.0,2.0,0.11,1336.0,1447.0,1407.0,12.3,132.0,494.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50258,35.955532,0.9688626527786255,0.001232182141393423,38.451042,4.8641443,-0.04055674221931102,RGI60-08.02687,G005876E61779N,20060916.0,-9999999.0,5.876,61.779,8.0,2.0,0.095,1156.0,1251.0,1165.0,9.8,116.0,419.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50259,13.854912,0.9488242864608765,0.0007452917634509504,15.123947,0.45125055,-0.6208481625757948,RGI60-08.02688,G005895E61802N,20060916.0,-9999999.0,5.895,61.802,8.0,2.0,0.059,1063.0,1216.0,1152.0,27.3,52.0,251.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
