,GlaThiDa_index,thickness,CenLon,CenLat,Area,Zmin,Zmed,Zmax,Slope,Aspect,Lmax
313,608,28.0,97.755,39.237,2.531,4317.0,4797.0,5113.0,19.2,2.0,3007.0
314,609,52.0,-69.1616,77.5223,46.234,193.0,854.0,1141.0,8.7,239.0,8096.0
315,610,26.0,-51.3598,64.162,1.699,493.0,824.0,1024.0,21.4,11.0,908.0
316,612,79.0,5.672,61.746,2.908,963.0,1214.0,1345.0,8.8,5.0,3327.0
317,613,56.0,5.644,61.747,3.972,918.0,1229.0,1379.0,9.9,29.0,2713.0
318,615,79.0,5.661,61.733,3.494,1058.0,1314.0,1354.0,4.5,143.0,2702.0
319,617,52.0,14.1244,77.9072,2.556,181.0,354.0,624.0,11.3,345.0,3775.0
320,618,53.0,14.601,77.9152,2.698,206.0,378.0,569.0,10.6,319.0,3301.0
321,619,31.0,16.0611,78.2445,2.164,340.0,589.0,851.0,12.8,301.0,3445.0
322,621,40.0,14.4077,77.8358,50.408,1.0,361.0,678.0,6.9,129.0,16565.0
323,622,44.0,14.6871,77.9111,2.798,289.0,402.0,550.0,9.1,86.0,2593.0
324,623,50.0,14.9686,77.9266,6.924,252.0,456.0,689.0,10.6,254.0,4736.0
325,624,28.0,15.0305,77.9989,5.136,271.0,454.0,893.0,10.5,44.0,3538.0
326,625,82.0,14.9569,78.0137,2.326,332.0,482.0,894.0,12.0,338.0,2940.0
327,626,43.0,14.9648,77.9531,2.884,290.0,498.0,803.0,15.4,4.0,3367.0
328,627,30.0,77.080587306,43.043653004,2.838,3427.0,3764.0,4185.0,19.1,359.0,3131.0
329,630,26.0,14.1412,77.9445,5.943,234.0,338.0,663.0,11.9,69.0,2642.0
330,632,58.0,37.3507,-3.05715,0.616,5663.0,5771.0,5794.0,9.9,355.0,905.0
